step,hp,enemy,coin
47,1,2,2
51,2,2,2
31,1,2,2
22,1,2,2
27,2,2,2
41,2,2,2
34,1,2,2
18,2,2,2
28,1,2,2
42,2,2,2
105,1,0,1
61,1,2,2
27,1,2,2
73,1,2,2
18,2,2,2
25,1,2,2
22,2,3,2
25,2,2,2
33,1,2,2
22,2,2,2
35,1,2,2
35,2,2,2
39,2,2,2
28,2,2,2
29,1,2,2
21,1,2,2
47,2,2,2
26,1,2,2
20,1,2,2
33,1,2,2
32,2,2,2
58,1,2,2
23,2,2,2
18,2,2,2
24,1,2,2
38,1,2,2
26,2,2,2
19,2,2,2
54,2,2,2
29,2,2,2
23,1,2,2
29,1,2,2
26,1,2,2
40,1,2,2
37,1,2,2
27,1,2,2
33,2,2,2
26,2,2,2
35,2,2,2
38,1,2,2
63,2,2,2
21,2,2,2
28,2,2,2
27,0,1,2
27,1,2,2
18,1,2,2
21,2,2,2
27,2,2,2
20,1,2,2
25,2,2,2
38,2,2,2
24,2,2,2
18,1,2,2
31,2,2,2
40,0,1,2
41,1,2,2
38,1,2,2
29,2,2,2
64,2,2,2
20,2,2,2
23,1,2,2
22,2,2,2
29,2,2,2
27,1,2,2
24,2,2,2
18,1,2,2
24,2,2,2
31,2,2,2
56,1,2,2
26,2,2,2
23,2,2,2
21,2,2,2
28,2,2,2
33,1,2,2
30,2,2,2
49,2,2,2
31,1,2,2
23,2,2,2
40,1,2,2
103,1,1,2
65,1,2,2
34,2,2,2
31,1,2,2
22,2,2,2
41,1,2,2
28,2,2,2
24,2,2,2
17,2,3,2
28,1,2,2
44,2,2,2
25,2,2,2
39,1,2,2
25,1,2,2
50,0,1,2
36,2,2,2
35,1,2,2
26,2,2,2
33,1,2,2
26,2,2,2
27,1,2,2
25,2,2,2
29,1,2,2
42,1,2,2
41,1,2,2
32,2,2,2
29,1,2,2
23,2,2,2
32,1,2,2
30,2,2,2
24,1,2,2
42,2,2,2
24,1,2,2
41,2,2,2
20,2,2,2
24,1,2,2
25,2,2,2
42,1,2,2
36,2,2,2
53,1,2,2
28,2,2,2
33,2,2,2
36,1,2,2
29,1,2,2
35,2,2,2
32,2,2,2
29,1,2,2
36,1,2,2
25,2,2,2
48,2,2,2
16,1,2,2
36,1,2,2
44,1,2,2
42,2,2,2
45,2,2,2
22,2,2,2
45,1,2,2
23,1,2,2
33,1,2,2
42,2,2,2
27,2,2,2
22,2,2,2
31,1,2,2
30,2,2,2
27,1,2,2
39,1,2,2
22,2,2,2
31,2,2,2
34,2,2,2
34,2,2,2
28,1,2,2
27,2,3,2
44,2,2,1
26,2,2,2
22,2,2,2
23,1,2,2
36,1,2,2
25,1,2,2
31,2,2,2
23,1,2,2
24,1,2,2
29,1,2,2
26,2,2,2
18,2,2,2
23,2,2,2
29,2,2,2
26,2,2,2
22,1,2,2
30,1,2,2
34,2,2,2
31,2,2,2
105,2,1,2
28,2,2,2
40,2,2,2
24,2,2,2
38,1,2,2
29,1,2,2
22,1,2,2
28,2,2,2
21,1,2,2
20,2,2,2
32,2,2,2
25,2,2,2
29,2,2,2
36,1,2,2
38,1,2,2
31,1,2,2
34,1,2,2
41,2,2,2
17,2,2,2
27,1,2,2
62,1,1,2
86,1,1,2
25,1,2,2
26,2,2,2
54,1,2,2
25,1,2,2
27,1,2,2
50,2,2,2
30,2,2,2
31,1,2,2
65,2,2,2
39,1,2,2
22,1,2,2
25,1,2,2
105,2,1,2
26,1,2,2
33,1,2,2
30,1,2,2
34,2,2,2
41,1,2,2
33,1,2,2
38,2,2,2
33,2,2,2
24,1,2,2
49,1,2,2
48,0,0,2
33,2,2,2
58,1,2,2
44,1,2,2
105,1,1,2
37,2,2,2
19,2,2,2
41,1,2,2
40,1,2,2
18,1,2,2
29,2,2,2
29,2,3,2
21,2,2,2
16,1,2,2
32,2,2,2
33,2,2,2
41,1,2,2
36,2,2,2
33,2,2,2
18,1,2,2
69,1,1,1
30,1,2,2
38,2,2,2
47,1,2,2
36,1,2,2
25,1,2,2
37,1,2,2
32,1,2,2
42,1,2,2
23,1,2,2
38,2,2,2
21,2,3,2
25,1,2,2
24,2,2,2
29,2,2,2
24,1,2,2
39,2,2,2
25,1,2,2
48,2,2,2
20,1,2,2
23,1,2,2
30,2,2,2
30,2,2,2
21,1,2,2
28,2,2,2
23,2,2,2
55,2,2,2
41,2,2,2
38,1,2,2
46,1,2,2
24,1,2,2
59,1,2,2
33,1,2,2
54,2,2,2
46,2,2,2
61,1,2,2
23,1,2,2
28,2,2,2
21,2,2,2
33,2,2,2
50,1,2,2
28,2,2,2
87,0,0,2
29,1,2,2
32,1,2,2
33,1,2,2
24,2,2,2
30,2,2,2
51,1,2,2
35,2,2,2
105,2,1,2
36,1,2,2
27,2,2,2
25,1,2,2
25,2,2,2
25,2,2,2
20,2,2,2
23,1,2,2
42,0,1,2
17,2,2,2
28,1,2,2
17,2,2,2
40,1,2,2
35,2,2,2
101,1,2,2
30,1,2,2
105,1,1,2
104,1,1,2
105,1,0,1
29,1,2,2
41,0,1,2
35,1,2,2
26,1,2,2
26,1,2,2
20,1,2,2
25,2,2,2
41,1,2,2
20,1,2,2
22,2,2,2
31,2,2,2
18,1,2,2
81,2,2,2
27,1,2,2
69,1,2,2
24,1,2,2
30,1,2,2
37,2,2,2
47,2,2,2
27,1,2,2
62,2,2,2
23,2,2,2
38,2,2,2
29,1,2,2
